wl,PerpenP0700nm,ParallP0700nm,PerpenP0820nm,ParallP0820nm,PerpenP1000nm,ParallP1000nm
400,0.19962,0.15469,0.036059,0.025676,0.0088299,0.070737
420,0.051036,0.2444,0.041724,0.012842,0.22438,0.043094
440,0.072654,0.10885,0.015424,0.030296,0.0335,0.028516
460,0.25092,0.08406,0.064073,0.071583,0.14112,0.10915
480,0.22714,0.12785,0.029707,0.1172,0.030122,0.041871
500,0.049016,0.054937,0.16373,0.16137,0.035273,0.03
520,0.0012249,0.000041311,0.12841,0.46572,0.0017554,0.0061434
540,0.00014359,0.015047,0.025627,0.095342,0.0035803,0.016026
560,0.018033,0.0033365,0.0021878,0.0048646,0.020363,0.020039
580,0.014966,0.0013318,0.018416,0.02607,0.0047172,0.03069
600,0.044148,0.012783,0.14275,0.097253,0.00235,0.097092
620,0.0642,0.094136,0.25577,0.16847,0.016375,0.0072173
640,0.043272,0.17082,0.23078,0.19662,0.027443,0.022611
660,0.0041612,0.14628,0.1419,0.15125,0.035969,0.051371
680,0.015506,0.18849,0.065269,0.078367,0.012899,0.14178
700,0.045294,0.45531,0.046396,0.027516,0.036748,0.006151
720,0.14994,0.50049,0.03901,0.010132,0.080141,0.051424
740,0.088174,0.55494,0.045431,0.011264,0.14272,0.10615
760,0.071992,0.63828,0.10221,0.0247,0.21053,0.14314
780,0.030825,0.66409,0.14593,0.042333,0.25465,0.1457
800,0.0061932,0.2579,0.066498,0.025299,0.23215,0.11339
820,0.00060214,0.20705,0.0056249,0.0071365,0.15759,0.059025
840,0.007025,0.079879,0.030227,0.17734,0.073356,0.017004
860,0.015793,0.030199,0.080976,0.42245,0.025953,0.00084132
880,0.020275,0.014595,0.10182,0.60612,0.012623,0.0016864
900,0.021226,0.009568,0.088233,0.73702,0.0094472,0.0046287
920,0.017854,0.0072225,0.11869,0.81213,0.0044268,0.0043676
940,0.011665,0.0053482,0.13767,0.80674,0.0020822,0.0035095
960,0.006777,0.003749,0.057538,0.69024,0.0012968,0.0073634
980,0.003325,0.0027581,0.019963,0.42304,0.0037379,0.027252
1000,0.0011967,0.0024436,0.0078409,0.36267,0.0038607,0.070108
1020,0.00040983,0.0025046,0.0039548,0.21879,0.0056702,0.12652
1040,0.00022001,0.0026053,0.00261,0.12229,0.0062984,0.18894
1060,0.0002672,0.0021204,0.0020356,0.070204,0.0040077,0.25969
1080,0.00064236,0.0016462,0.0018409,0.042629,0.012242,0.34014
1100,0.0018485,0.0009801,0.0012864,0.026875,0.036227,0.42852
1120,0.0046992,0.00028233,0.00061227,0.016811,0.070011,0.52167
1140,0.010183,0.000010486,0.00024893,0.0099425,0.095586,0.61531
1160,0.019227,0.00081781,0.00010134,0.0052232,0.10977,0.70242
1180,0.03247,0.0034467,0.000049839,0.002191,0.1182,0.76024
1200,0.050083,0.0085987,0.000020258,0.00061162,0.13982,0.72849
1220,0.071709,0.016795,0.000028402,0.000061197,0.18671,0.55159
1240,0.096517,0.028265,0.00017663,0.000038923,0.22447,0.31081
1260,0.12337,0.042883,0.00073294,0.00026193,0.13348,0.12562
1280,0.15101,0.060197,0.002219,0.00064785,0.038769,0.097359
1300,0.17828,0.079501,0.0053169,0.0010039,0.0061199,0.061316
1320,0.20418,0.099959,0.010809,0.0011392,0.00048785,0.04021
1340,0.22795,0.12072,0.019455,0.00096564,0.00098975,0.029205
1360,0.24909,0.141,0.031857,0.00054867,0.0014643,0.021989
1380,0.26728,0.16013,0.048347,0.00011707,0.0023132,0.016429
1400,0.28236,0.17762,0.068911,0.000042482,0.0036694,0.011903
1420,0.2943,0.19309,0.093179,0.0007956,0.0054476,0.0082239
1440,0.30312,0.20629,0.12047,0.0028858,0.0073147,0.0053576
1460,0.30892,0.21708,0.1499,0.006792,0.0089471,0.0033212
1480,0.31182,0.2254,0.18049,0.012895,0.0099131,0.0019912
1500,0.31196,0.23126,0.21126,0.021422,0.010341,0.0013534
1520,0.30948,0.2347,0.24138,0.032416,0.011678,0.00068948
1540,0.30454,0.23582,0.27014,0.045733,0.011246,0.00013534
1560,0.29731,0.23471,0.29702,0.061064,0.009796,0.000013039
1580,0.28797,0.23152,0.32167,0.077976,0.0075734,0.00032186
1600,0.2767,0.2264,0.34388,0.095967,0.0049471,0.00092208
1620,0.26368,0.21949,0.36355,0.11451,0.0024135,0.0016171
1640,0.24914,0.21099,0.38067,0.13312,0.00056274,0.0022128
1660,0.2333,0.20107,0.39527,0.15132,0.000029823,0.0025588
1680,0.21638,0.18992,0.40744,0.16875,0.0014373,0.0025728
1700,0.19865,0.17774,0.41727,0.1851,0.005335,0.002251
